COUNTY,1990_H,1990_L,1990_M,1990_VL,1991_H,1991_L,1991_M,1991_VL,1992_H,1992_L,1992_M,1992_VL,1993_H,1993_L,1993_M,1993_VL,1994_H,1994_L,1994_M,1994_VL,1995_H,1995_L,1995_M,1995_VL,1996_H,1996_L,1996_M,1996_VL,1997_H,1997_L,1997_M,1997_VL,1998_H,1998_L,1998_M,1998_VL,1999_H,1999_L,1999_M,1999_VL,2000_H,2000_L,2000_M,2000_VL,2001_H,2001_L,2001_M,2001_VL,2002_H,2002_L,2002_M,2002_VL,2003_H,2003_L,2003_M,2003_VL,2004_H,2004_L,2004_M,2004_VL,2005_H,2005_L,2005_M,2005_VL,2006_H,2006_L,2006_M,2006_VL,2007_H,2007_L,2007_M,2007_VL,2008_H,2008_L,2008_M,2008_VL,2009_H,2009_L,2009_M,2009_VL,2010_H,2010_L,2010_M,2010_VL,2011_H,2011_L,2011_M,2011_VL,2012_H,2012_L,2012_M,2012_VL,2013_H,2013_L,2013_M,2013_VL,2014_H,2014_L,2014_M,2014_VL,2015_H,2015_L,2015_M,2015_VL,2016_H,2016_L,2016_M,2016_VL,2017_H,2017_L,2017_M,2017_VL,2018_H,2018_L,2018_M,2018_VL,2019_H,2019_L,2019_M,2019_VL,count_1990_H,count_1990_L,count_1990_M,count_1990_VL,count_1991_H,count_1991_L,count_1991_M,count_1991_VL,count_1992_H,count_1992_L,count_1992_M,count_1992_VL,count_1993_H,count_1993_L,count_1993_M,count_1993_VL,count_1994_H,count_1994_L,count_1994_M,count_1994_VL,count_1995_H,count_1995_L,count_1995_M,count_1995_VL,count_1996_H,count_1996_L,count_1996_M,count_1996_VL,count_1997_H,count_1997_L,count_1997_M,count_1997_VL,count_1998_H,count_1998_L,count_1998_M,count_1998_VL,count_1999_H,count_1999_L,count_1999_M,count_1999_VL,count_2000_H,count_2000_L,count_2000_M,count_2000_VL,count_2001_H,count_2001_L,count_2001_M,count_2001_VL,count_2002_H,count_2002_L,count_2002_M,count_2002_VL,count_2003_H,count_2003_L,count_2003_M,count_2003_VL,count_2004_H,count_2004_L,count_2004_M,count_2004_VL,count_2005_H,count_2005_L,count_2005_M,count_2005_VL,count_2006_H,count_2006_L,count_2006_M,count_2006_VL,count_2007_H,count_2007_L,count_2007_M,count_2007_VL,count_2008_H,count_2008_L,count_2008_M,count_2008_VL,count_2009_H,count_2009_L,count_2009_M,count_2009_VL,count_2010_H,count_2010_L,count_2010_M,count_2010_VL,count_2011_H,count_2011_L,count_2011_M,count_2011_VL,count_2012_H,count_2012_L,count_2012_M,count_2012_VL,count_2013_H,count_2013_L,count_2013_M,count_2013_VL,count_2014_H,count_2014_L,count_2014_M,count_2014_VL,count_2015_H,count_2015_L,count_2015_M,count_2015_VL,count_2016_H,count_2016_L,count_2016_M,count_2016_VL,count_2017_H,count_2017_L,count_2017_M,count_2017_VL,count_2018_H,count_2018_L,count_2018_M,count_2018_VL,count_2019_H,count_2019_L,count_2019_M,count_2019_VL
ADAIR,0.0,0.0,0.0,0.0,0.0,0.0,234.0,0.0,0.0,152.0,198.0,0.0,0.0,0.0,0.0,94.0,0.0,0.0,193.0,0.0,353.5,136.25,260.8,0.0,0.0,151.0,223.25,79.33,445.4,152.75,240.0,77,404.5,133.0,206.0,0,470.0,163.0,268.0,0.0,431.75,142.0,295.0,0,586.67,147.2,240.14,0.0,0.0,145.0,234.0,0,0.0,0.0,198.0,0.0,0.0,0.0,230.0,63.0,334.83,0.0,254.0,0.0,548.5,152.71,251.56,100.33,445.0,124.33,243.25,0.0,528.0,166.0,231.0,0.0,313.0,0.0,229.0,0.0,0.0,138.67,226.0,0.0,485.0,155.0,0.0,0.0,0.0,169.0,272.0,0.0,314.0,134.0,283.5,0.0,0.0,0.0,267.5,0.0,0.0,132.0,299.0,0.0,349.0,158.0,238.0,0.0,398.0,0.0,228.0,0.0,1559.0,0.0,0.0,0.0,484.0,0.0,0.0,0.0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,1,0,0,1,0,2,4,5,0,0,6,4,9,5,4,6,3,2,3,1,0,2,4,3,0,4,5,1,0,3,5,7,0,0,2,10,0,0,0,2,0,0,0,1,1,6,0,2,0,6,7,9,3,4,3,4,0,2,1,2,0,1,0,2,0,0,3,3,0,2,1,0,0,0,1,2,0,1,1,2,0,0,0,2,0,0,2,1,0,1,1,2,0,1,0,3,0,1,0,0,0,1,0,0,0
ALLEN,366.5,159.5,262.0,0.0,419.5,138.5,220.0,0.0,0.0,0.0,0.0,0.0,402.5,161.0,240.0,0.0,401.0,128.5,238.0,0.0,389.75,0.0,246.0,0.0,355.0,0.0,216.0,0.0,0.0,0.0,215.5,0,0.0,0.0,0.0,0,0.0,0.0,238.5,0.0,0.0,0.0,0.0,0,0.0,0.0,263.0,0.0,0.0,112.0,256.0,0,835.0,127.5,0.0,68.5,432.5,148.0,255.5,0.0,525.0,155.0,237.0,83.0,374.2,179.0,236.0,96.0,405.0,0.0,243.5,0.0,368.0,135.0,212.0,94.0,0.0,0.0,190.0,0.0,0.0,156.0,201.0,0.0,741.0,0.0,0.0,0.0,505.67,154.25,203.0,0.0,0.0,0.0,196.0,0.0,314.0,0.0,0.0,0.0,338.0,177.0,220.5,0.0,804.25,150.33,239.0,90.5,413.0,163.5,219.0,0.0,335.0,112.0,250.0,0.0,663.25,137.0,0.0,0.0,4,6,5,0,2,2,1,0,0,0,0,0,2,3,5,0,1,2,3,0,4,0,3,0,2,0,1,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,1,0,2,2,0,2,2,2,2,0,2,3,3,1,5,1,5,1,2,0,2,0,2,4,3,1,0,0,1,0,0,1,1,0,1,0,0,0,3,8,1,0,0,0,1,0,1,0,0,0,1,1,2,0,4,3,2,2,3,2,3,0,1,1,1,0,4,1,0,0
ANDERSON,0.0,0.0,0.0,0.0,0.0,156.0,0.0,0.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,497.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,397.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,182.0,0.0,0,0.0,0.0,0.0,0.0,0.0,126.0,0.0,0.0,0.0,151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,448.4,0.0,268.0,0.0,0.0,0.0,0.0,0.0,339.0,157.0,0.0,0.0,0.0,0.0,0.0,0.0,371.5,0.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,271.0,0.0,0.0,0.0,189.0,0.0,352.33,0.0,237.0,0.0,422.67,176.0,252.11,0.0,583.67,178.67,237.67,0.0,0.0,122.0,0.0,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,2,0,3,0,0,0,0,0,0,2,1,0,0,0,1,0,3,0,9,0,6,1,9,0,3,3,9,0,0,1,0,0
BALLARD,361.74,178.0,259.47,0.0,345.0,165.33,257.2,0.0,359.0,169.5,259.5,0.0,339.33,0.0,245.2,0.0,390.83,159.67,248.5,0.0,369.83,183.0,232.17,0.0,390.5,161.0,245.45,0.0,369.5,156.2,234.44,86,399.45,153.5,241.94,80,388.4,161.0,244.96,0.0,336.5,154.83,220.67,100,388.5,176.0,239.61,98.5,320.5,155.5,232.5,0,391.57,160.0,240.14,0.0,417.25,165.71,233.89,0.0,0.0,0.0,0.0,99.0,0.0,161.25,202.0,0.0,0.0,0.0,0.0,0.0,427.0,163.43,234.17,0.0,393.0,179.0,252.0,0.0,377.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,382.33,163.67,226.8,0.0,0.0,179.0,225.5,0.0,0.0,0.0,255.5,0.0,0.0,0.0,202.0,0.0,0.0,186.0,0.0,0.0,316.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,0.0,19,1,15,0,3,3,5,0,1,2,2,0,3,0,10,0,6,3,10,0,6,1,6,0,6,5,11,0,8,5,9,1,11,2,17,1,20,3,23,0,2,6,9,1,6,5,31,2,2,14,16,0,7,7,7,0,4,7,18,0,0,0,0,1,0,12,4,0,0,0,0,0,1,7,23,0,1,1,2,0,2,0,0,0,0,0,0,0,3,3,5,0,0,1,2,0,0,0,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
BARREN,444.4,131.0,249.75,66.0,438.0,0.0,250.0,0.0,389.0,181.5,269.6,0.0,458.0,163.5,0.0,0.0,405.4,151.11,242.0,0.0,432.15,144.8,256.61,0.0,420.0,0.0,257.0,0.0,326.0,140.33,263.0,0,0.0,0.0,0.0,0,310.0,0.0,248.5,0.0,0.0,161.0,247.75,0,0.0,133.4,214.33,91.5,0.0,180.0,258.25,0,398.0,0.0,227.5,83.5,0.0,144.0,293.0,0.0,467.75,0.0,250.0,0.0,381.0,0.0,248.0,0.0,0.0,126.0,0.0,69.0,378.0,141.0,240.0,0.0,821.0,116.0,260.0,0.0,427.67,0.0,238.0,0.0,0.0,0.0,0.0,0.0,835.0,0.0,215.0,0.0,502.0,137.0,194.5,0.0,0.0,162.0,0.0,0.0,377.8,120.0,226.5,60.0,0.0,0.0,241.0,0.0,0.0,168.0,229.33,0.0,0.0,185.0,211.0,0.0,369.0,170.0,280.0,0.0,5,1,4,1,5,0,1,0,4,2,5,0,5,2,0,0,10,9,14,0,13,10,18,0,3,0,4,0,1,3,2,0,0,0,0,0,1,0,4,0,0,3,4,0,0,5,3,2,0,1,4,0,2,0,2,2,0,1,1,0,4,0,2,0,1,0,1,0,0,3,0,1,2,1,1,0,1,1,1,0,3,0,1,0,0,0,0,0,2,0,1,0,2,1,2,0,0,1,0,0,5,2,2,2,0,0,1,0,0,1,3,0,0,1,1,0,1,1,1,0
BATH,0.0,178.0,225.67,82.5,0.0,0.0,217.0,0.0,427.83,160.67,243.62,86.0,345.0,0.0,0.0,0.0,463.43,0.0,256.0,0.0,424.5,0.0,243.43,0.0,366.5,0.0,0.0,0.0,0.0,0.0,0.0,0,466.33,149.2,243.67,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,171.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,221.0,83.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129.0,212.0,0.0,303.0,0.0,0.0,0.0,314.0,0.0,278.0,0.0,0.0,159.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,343.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,3,2,0,0,1,0,6,3,8,1,1,0,0,0,7,0,4,0,4,0,7,0,2,0,0,0,0,0,0,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,1,5,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BELL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
BOONE,427.67,123.0,242.67,0.0,317.0,173.0,235.62,0.0,0.0,0.0,0.0,0.0,368.33,162.0,274.83,0.0,0.0,0.0,276.0,0.0,439.0,0.0,196.0,0.0,320.0,169.0,248.5,0.0,398.0,0.0,230.0,0,407.0,155.0,269.4,0,368.17,173.33,231.0,0.0,0.0,165.0,240.0,0,378.0,161.0,258.57,0.0,0.0,157.5,248.0,0,403.0,172.5,225.6,0.0,364.0,177.0,261.43,0.0,566.0,143.0,298.0,0.0,446.0,143.0,227.5,0.0,328.0,0.0,261.5,0.0,372.67,0.0,233.0,0.0,401.75,181.0,223.0,0.0,476.0,0.0,225.0,0.0,415.67,140.33,234.33,0.0,390.0,168.8,230.36,0.0,389.25,121.92,276.5,85.0,304.0,161.0,241.0,0.0,0.0,0.0,222.0,0.0,0.0,169.67,236.5,0.0,656.0,173.0,195.0,0.0,504.5,168.0,244.0,0.0,301.0,169.0,251.83,0.0,3,1,3,0,1,1,8,0,0,0,0,0,3,1,6,0,0,0,3,0,4,0,1,0,1,3,8,0,1,0,5,0,1,1,5,0,6,3,2,0,0,1,6,0,3,1,7,0,0,2,7,0,2,2,5,0,1,3,7,0,2,3,1,0,2,1,2,0,1,0,6,0,3,0,2,0,4,1,1,0,1,0,1,0,3,3,6,0,2,5,11,0,4,12,2,1,1,1,3,0,0,0,3,0,0,3,2,0,6,2,1,0,2,2,2,0,1,3,6,0
BOURBON,384.75,0.0,264.11,0.0,0.0,0.0,244.0,0.0,473.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468.38,149.0,239.5,0.0,394.21,151.0,246.29,0.0,400.08,159.83,238.74,0.0,371.64,145.0,224.08,0,391.44,176.0,232.4,0,450.14,146.75,227.33,0.0,399.0,175.5,237.4,0,459.5,0.0,0.0,0.0,465.6,0.0,236.5,0,492.29,0.0,270.67,0.0,435.0,0.0,288.0,0.0,503.25,167.5,246.0,0.0,501.75,0.0,282.0,0.0,389.27,0.0,255.47,0.0,430.62,178.0,244.33,0.0,484.0,181.0,0.0,0.0,564.46,179.0,247.2,0.0,583.75,158.78,221.64,97.0,483.43,152.2,236.67,0.0,326.0,154.5,227.43,0.0,303.0,159.0,226.6,0.0,492.67,0.0,212.0,0.0,0.0,0.0,206.25,0.0,440.0,145.67,253.33,0.0,337.0,0.0,0.0,0.0,462.0,172.0,208.86,0.0,4,0,9,0,0,0,1,0,5,0,0,0,0,0,0,0,8,1,10,0,29,1,14,0,12,6,19,0,11,2,12,0,9,1,5,0,14,4,6,0,1,2,5,0,8,0,0,0,5,0,2,0,7,0,3,0,2,0,1,0,8,2,4,0,12,0,2,0,11,0,15,0,8,1,6,0,1,1,0,0,26,2,15,0,4,9,11,1,7,5,15,0,1,4,7,0,1,3,10,0,3,0,2,0,0,0,4,0,1,3,3,0,1,0,0,0,4,1,7,0
BOYD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,219.5,96.0,0.0,0.0,230.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211.0,0.0,0.0,0.0,300.0,0,0.0,0.0,0.0,0,0.0,111.0,249.0,0.0,0.0,0.0,268.0,0,519.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,152.8,246.67,93.0,314.0,150.62,213.0,0.0,0.0,0.0,193.0,0.0,0.0,0.0,229.0,0.0,488.0,113.0,297.0,0.0,305.0,0.0,0.0,0.0,0.0,179.0,0.0,0.0,0.0,0.0,0.0,0.0,312.0,0.0,0.0,0.0,0.0,143.0,280.0,0.0,0.0,0.0,205.0,0.0,0.0,115.0,241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,3,2,1,8,6,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
