COUNTY,count_1990_H,count_1990_L,count_1990_M,count_1990_VL,count_1991_H,count_1991_L,count_1991_M,count_1991_VL,count_1992_H,count_1992_L,count_1992_M,count_1992_VL,count_1993_H,count_1993_L,count_1993_M,count_1993_VL,count_1994_H,count_1994_L,count_1994_M,count_1994_VL,count_1995_H,count_1995_L,count_1995_M,count_1995_VL,count_1996_H,count_1996_L,count_1996_M,count_1996_VL,count_1997_H,count_1997_L,count_1997_M,count_1997_VL,count_1998_H,count_1998_L,count_1998_M,count_1998_VL,count_1999_H,count_1999_L,count_1999_M,count_1999_VL,count_2000_H,count_2000_L,count_2000_M,count_2000_VL,count_2001_H,count_2001_L,count_2001_M,count_2001_VL,count_2002_H,count_2002_L,count_2002_M,count_2002_VL,count_2003_H,count_2003_L,count_2003_M,count_2003_VL,count_2004_H,count_2004_L,count_2004_M,count_2004_VL,count_2005_H,count_2005_L,count_2005_M,count_2005_VL,count_2006_H,count_2006_L,count_2006_M,count_2006_VL,count_2007_H,count_2007_L,count_2007_M,count_2007_VL,count_2008_H,count_2008_L,count_2008_M,count_2008_VL,count_2009_H,count_2009_L,count_2009_M,count_2009_VL,count_2010_H,count_2010_L,count_2010_M,count_2010_VL,count_2011_H,count_2011_L,count_2011_M,count_2011_VL,count_2012_H,count_2012_L,count_2012_M,count_2012_VL,count_2013_H,count_2013_L,count_2013_M,count_2013_VL,count_2014_H,count_2014_L,count_2014_M,count_2014_VL,count_2015_H,count_2015_L,count_2015_M,count_2015_VL,count_2016_H,count_2016_L,count_2016_M,count_2016_VL,count_2017_H,count_2017_L,count_2017_M,count_2017_VL,count_2018_H,count_2018_L,count_2018_M,count_2018_VL,count_2019_H,count_2019_L,count_2019_M,count_2019_VL,1990_H,1990_L,1990_M,1990_VL,1991_H,1991_L,1991_M,1991_VL,1992_H,1992_L,1992_M,1992_VL,1993_H,1993_L,1993_M,1993_VL,1994_H,1994_L,1994_M,1994_VL,1995_H,1995_L,1995_M,1995_VL,1996_H,1996_L,1996_M,1996_VL,1997_H,1997_L,1997_M,1997_VL,1998_H,1998_L,1998_M,1998_VL,1999_H,1999_L,1999_M,1999_VL,2000_H,2000_L,2000_M,2000_VL,2001_H,2001_L,2001_M,2001_VL,2002_H,2002_L,2002_M,2002_VL,2003_H,2003_L,2003_M,2003_VL,2004_H,2004_L,2004_M,2004_VL,2005_H,2005_L,2005_M,2005_VL,2006_H,2006_L,2006_M,2006_VL,2007_H,2007_L,2007_M,2007_VL,2008_H,2008_L,2008_M,2008_VL,2009_H,2009_L,2009_M,2009_VL,2010_H,2010_L,2010_M,2010_VL,2011_H,2011_L,2011_M,2011_VL,2012_H,2012_L,2012_M,2012_VL,2013_H,2013_L,2013_M,2013_VL,2014_H,2014_L,2014_M,2014_VL,2015_H,2015_L,2015_M,2015_VL,2016_H,2016_L,2016_M,2016_VL,2017_H,2017_L,2017_M,2017_VL,2018_H,2018_L,2018_M,2018_VL,2019_H,2019_L,2019_M,2019_VL
ADAIR,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,1,0,3,0,2,0,0,0,0,0,4,0,2,0,0,0,0,0,5,1,0,0,3,0,1,0,8,0,0,0,2,2,2,0,16,1,7,0,17,1,2,0,21,0,1,0,15,0,5,0,24,3,7,0,28,3,16,0,44,7,22,0,46,5,13,0,29,8,15,0,34,4,19,0,27,6,22,0,42,6,12,0,26,3,17,0,18,3,12,1,0.0,0.0,0.0,0,238.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,59.0,0,0.0,0.0,0.0,0,117.0,0.0,45.0,0,97.0,0.0,33.5,0,0.0,0.0,0.0,0.0,73.0,0.0,36.5,0,0.0,0.0,0.0,0,110.0,8.0,0.0,0.0,69.0,0.0,54.0,0,142.5,0.0,0.0,0,87.0,12.0,46.5,0.0,99.5,20.0,54.0,0,120.0,17.0,51.0,0,129.0,0.0,40.0,0,184.0,0.0,36.0,0.0,118.0,25.0,50.0,0,128.0,21.0,45.0,0,120.0,26.0,44.5,0.0,123.5,17.0,44.0,0,111.0,24.5,49.0,0,108.0,25.0,48.0,0.0,123.0,20.0,47.5,0,93.5,20.5,36.0,0,139.5,20.0,37.0,0.0,119.5,21.0,44.5,4.0
ALLEN,1,4,0,0,3,0,0,0,0,1,2,0,9,1,5,0,0,0,0,0,10,0,11,0,9,1,1,0,2,0,0,0,3,1,1,0,2,0,0,0,1,0,0,0,4,0,0,0,0,1,2,0,2,0,1,0,0,1,1,0,4,0,4,0,5,0,1,0,4,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,1,1,3,0,4,1,8,0,4,3,11,0,1,0,0,0,62.0,23.5,0.0,0,80.0,0.0,0.0,0,0.0,24.0,49.5,0,126.0,25.0,53.0,0.0,0.0,0.0,0.0,0.0,118.0,0.0,40.0,0,98.0,25.0,59.0,0,92.0,0.0,0.0,0,64.0,18.0,49.0,0,79.5,0.0,0.0,0.0,144.0,0.0,0.0,0,110.0,0.0,0.0,0,0.0,14.0,37.5,0.0,67.0,0.0,31.0,0,0.0,21.0,41.0,0,186.5,0.0,35.0,0.0,74.0,0.0,51.0,0,178.0,0.0,0.0,0,114.0,0.0,0.0,0,83.0,0.0,38.0,0.0,127.0,0.0,0.0,0,0.0,0.0,43.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,79.0,24.0,39.0,0.0,131.0,25.0,57.0,0,131.0,19.0,42.5,0,110.5,17.0,40.0,0.0,652.0,0.0,0.0,0.0
ANDERSON,0,0,0,0,6,3,3,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,3,0,1,0,2,0,0,0,3,0,1,0,7,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,2,0,0,0,18,0,0,0,7,0,0,0,15,0,1,0,27,0,1,0,7,0,0,0,14,1,0,0,16,0,2,0,24,0,1,0,2,1,2,0,11,1,0,0,0.0,0.0,0.0,0,430.0,26.0,53.0,0,0.0,0.0,52.0,0,0.0,0.0,53.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,327.0,0.0,0.0,0.0,0.0,0.0,0.0,0,316.0,0.0,0.0,0,133.0,0.0,38.0,0.0,313.5,0.0,0.0,0,255.0,0.0,45.0,0,229.0,0.0,0.0,0.0,306.0,0.0,0.0,0,0.0,0.0,0.0,0,263.0,0.0,0.0,0,255.5,0.0,0.0,0.0,289.5,0.0,0.0,0,367.0,0.0,0.0,0,368.0,0.0,59.0,0.0,243.0,0.0,50.0,0,274.0,0.0,0.0,0,202.0,20.0,0.0,0.0,403.0,0.0,49.0,0,298.0,0.0,60.0,0,1156.0,22.0,43.5,0.0,171.0,16.0,0.0,0.0
BALLARD,39,1,18,0,20,2,14,0,3,1,7,0,34,3,21,0,20,0,10,0,32,2,20,0,35,1,23,0,47,6,35,1,50,9,52,0,69,6,49,0,26,16,36,0,60,9,49,0,34,4,46,0,52,6,72,0,51,10,66,0,40,9,53,0,12,13,60,0,36,12,71,0,48,16,82,0,13,13,52,0,50,11,80,0,32,0,32,0,53,9,68,0,4,1,3,0,11,0,15,0,8,0,12,0,12,2,10,0,9,1,30,0,17,5,25,0,7,1,18,0,87.0,27.0,51.0,0,76.5,18.5,47.5,0,82.0,18.0,38.0,0,93.5,23.0,44.0,0.0,93.0,0.0,45.0,0.0,90.5,20.0,52.0,0,98.0,13.0,47.0,0,98.0,17.5,46.0,5,92.0,21.0,46.0,0,96.0,26.0,43.0,0.0,74.5,20.0,43.0,0,95.5,23.0,49.0,0,71.0,26.0,39.5,0.0,92.0,26.0,45.0,0,91.0,23.5,41.0,0,81.0,23.0,46.0,0.0,93.5,25.0,37.5,0,81.0,23.0,45.0,0,81.5,24.5,42.0,0,93.0,21.0,43.5,0.0,89.5,25.0,42.0,0,92.5,0.0,46.0,0,75.0,23.0,44.5,0.0,86.0,24.0,49.0,0,77.0,0.0,40.0,0,83.5,0.0,46.5,0.0,177.0,24.5,37.5,0,68.0,21.0,40.5,0,71.0,22.0,42.0,0.0,100.0,25.0,40.0,0.0
BARREN,12,2,2,0,17,2,7,0,20,2,8,0,10,2,2,0,15,1,6,0,7,0,12,0,8,0,7,0,5,4,4,0,4,0,1,0,0,0,0,0,3,4,0,0,2,0,1,0,5,0,1,0,0,0,0,0,17,1,4,0,17,5,11,0,9,0,0,0,26,0,15,0,5,5,13,0,19,1,18,0,6,0,1,0,38,3,13,0,49,9,34,0,10,2,4,0,7,0,9,0,4,1,1,0,6,0,6,0,5,2,13,0,6,0,7,0,2,0,0,0,131.0,23.0,41.0,0,126.0,23.0,39.0,0,117.5,20.5,51.5,0,109.5,26.0,49.0,0.0,93.0,23.0,44.5,0.0,124.0,0.0,47.5,0,94.0,0.0,40.0,0,80.0,16.5,39.5,0,86.5,0.0,43.0,0,0.0,0.0,0.0,0.0,93.0,18.5,0.0,0,139.0,0.0,54.0,0,167.0,0.0,58.0,0.0,0.0,0.0,0.0,0,95.0,14.0,41.0,0,105.0,23.0,47.0,0.0,122.0,0.0,0.0,0,193.0,0.0,48.0,0,101.0,22.0,41.0,0,95.0,12.0,46.5,0.0,245.5,0.0,60.0,0,110.5,19.0,43.0,0,111.0,19.0,41.0,0.0,94.5,18.5,37.5,0,67.0,0.0,45.0,0,81.0,25.0,59.0,0.0,163.0,0.0,49.5,0,70.0,18.5,46.0,0,124.5,0.0,46.0,0.0,236.0,0.0,0.0,0.0
BATH,8,5,10,0,3,0,1,0,6,4,9,0,3,2,0,0,0,2,3,0,3,1,0,0,3,2,4,0,3,2,4,0,8,8,14,0,1,1,2,0,3,0,2,0,3,2,5,0,7,3,7,0,3,0,8,0,3,1,5,0,3,2,12,1,3,3,5,0,6,7,2,0,24,6,16,0,7,2,6,0,11,6,21,0,10,4,10,0,12,4,5,0,15,9,16,0,8,6,6,0,21,10,28,2,13,4,18,0,7,2,2,0,9,4,7,0,2,1,1,0,90.0,22.0,42.0,0,124.0,0.0,60.0,0,88.0,18.5,44.0,0,93.0,23.5,0.0,0.0,0.0,19.5,35.0,0.0,79.0,18.0,0.0,0,97.0,13.5,45.0,0,85.0,19.0,45.0,0,116.5,21.5,44.0,0,72.0,18.0,43.5,0.0,85.0,0.0,37.0,0,150.0,18.0,41.0,0,100.0,17.0,43.0,0.0,77.0,0.0,41.0,0,79.0,27.0,46.0,0,114.0,20.0,45.5,5.0,123.0,14.0,47.0,0,158.0,23.0,33.5,0,81.0,19.0,38.5,0,76.0,20.0,31.5,0.0,76.0,19.5,47.0,0,108.5,21.0,37.0,0,83.0,23.0,44.0,0.0,84.0,19.0,43.5,0,151.0,25.5,41.0,0,116.0,24.5,38.5,3.5,100.0,15.0,45.0,0,100.0,20.5,55.5,0,109.0,22.5,41.0,0.0,86.0,26.0,35.0,0.0
BELL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,55.0,0.0,0.0,0.0,0.0,0.0
BOONE,4,1,6,0,6,1,6,0,9,2,2,0,5,5,6,0,10,1,1,0,17,1,9,0,16,4,7,0,9,1,5,0,31,0,4,0,8,0,4,0,0,0,0,0,24,1,8,0,2,0,3,0,18,3,1,0,38,0,10,0,7,0,2,0,15,7,5,0,15,0,8,0,11,0,6,0,17,0,3,0,37,2,6,0,5,5,6,0,19,6,13,0,12,8,11,0,15,2,7,0,8,2,2,0,20,7,6,0,9,3,6,0,18,3,6,0,24,1,11,0,80.5,18.0,41.0,0,151.5,14.0,50.0,0,71.0,13.5,52.0,0,96.0,16.0,47.5,0.0,134.0,26.0,44.0,0.0,127.0,17.0,51.0,0,141.0,22.0,38.0,0,87.0,16.0,48.0,0,129.0,0.0,57.0,0,77.0,0.0,48.5,0.0,0.0,0.0,0.0,0,115.5,22.0,40.0,0,74.5,0.0,36.0,0.0,130.0,13.0,29.0,0,127.0,0.0,40.0,0,139.0,0.0,53.0,0.0,166.0,23.0,50.0,0,83.0,0.0,43.5,0,112.0,0.0,46.5,0,133.0,0.0,47.0,0.0,146.0,23.0,40.0,0,88.0,20.0,42.0,0,151.0,22.0,48.0,0.0,91.0,14.0,43.0,0,257.0,18.0,49.0,0,142.5,15.5,41.5,0.0,107.5,20.0,41.0,0,97.0,21.0,40.5,0,121.0,24.0,45.5,0.0,95.5,26.0,46.0,0.0
BOURBON,46,3,4,1,13,2,6,0,21,1,10,0,48,1,15,0,45,7,15,0,102,3,19,0,61,6,9,0,82,4,16,0,53,6,25,0,28,0,6,0,21,0,2,0,22,0,0,0,6,0,3,0,27,0,3,0,6,0,2,0,10,0,7,0,29,0,11,0,51,0,10,0,38,3,13,0,38,4,13,0,70,1,18,0,65,6,24,0,88,6,27,0,90,2,40,0,120,11,51,0,35,1,16,0,29,2,14,0,46,3,7,0,40,4,13,0,38,1,9,0,177.5,19.0,43.0,3,261.0,24.5,38.5,0,148.0,24.0,41.0,0,233.0,9.0,45.0,0.0,252.0,25.0,42.0,0.0,200.5,24.0,38.0,0,244.0,19.5,45.0,0,214.0,20.5,47.5,0,144.0,21.5,45.0,0,140.5,0.0,56.0,0.0,267.0,0.0,35.5,0,236.0,0.0,0.0,0,190.5,0.0,34.0,0.0,229.0,0.0,33.0,0,234.0,0.0,43.5,0,126.5,0.0,46.0,0.0,242.0,0.0,44.0,0,164.0,0.0,48.0,0,244.5,21.0,47.0,0,137.5,24.5,47.0,0.0,142.0,26.0,46.0,0,167.0,23.0,44.0,0,137.5,25.0,42.0,0.0,188.5,22.0,48.0,0,148.5,21.0,44.0,0,189.0,17.0,49.5,0.0,193.0,19.0,46.0,0,201.0,24.0,41.0,0,185.0,21.5,44.0,0.0,247.0,25.0,40.0,0.0
BOYD,0,3,1,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,2,0,0,5,15,6,0,1,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0,18.0,57.0,0,0.0,0.0,0.0,0,98.0,0.0,0.0,0,118.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,18.0,44.0,0,0.0,21.0,0.0,0.0,108.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,56.0,0,0.0,0.0,0.0,0,144.0,0.0,30.0,0.0,0.0,0.0,0.0,0,103.0,15.0,0.0,0,130.0,14.0,34.0,0.0,203.0,26.0,32.0,0,356.0,0.0,47.0,0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0
